Lemma,Rank,SFI,U
the,1,"87,847","60.909,90"
be,2,"86,864","48.575,13"
and,3,"84,884","30.788,88"
of,4,"84,789","30.125,96"
to,5,"84,665","29.271,98"
a,6,"84,452","27.871,88"
in,7,"83,252","21.142,48"
have,8,"81,526","14.209,56"
it,9,"81,390","13.772,12"
you,10,"81,075","12.809,87"
he,11,"80,421","11.017,11"
for,12,"80,011","10.025,06"
they,13,"79,896","9.763,81"
not,14,"79,774","9.493,59"
that,15,"79,372","8.652,85"
we,16,"79,243","8.400,72"
on,17,"78,900","7.763,02"
with,18,"78,681","7.381,49"
this,19,"78,453","7.002,53"
I,20,"78,338","6.820,00"
do,21,"78,327","6.802,26"
as,22,"78,291","6.746,80"
at,23,"77,459","5.570,29"
she,24,"77,155","5.194,53"
but,25,"77,065","5.087,01"
from,26,"76,626","4.598,39"
by,27,"76,357","4.322,55"
will,28,"76,227","4.195,02"
or,29,"76,085","4.060,06"
say,30,"75,347","3.425,05"
go,31,"75,133","3.260,27"
so,32,"75,088","3.226,72"
all,33,"75,017","3.174,53"
if,34,"74,784","3.008,74"
one,35,"74,767","2.997,12"
would,36,"74,767","2.996,77"
about,37,"74,723","2.967,16"
can,38,"74,608","2.889,52"
which,39,"74,603","2.886,28"
there,40,"74,502","2.819,71"
know,41,"74,205","2.633,57"
more,42,"74,202","2.631,37"
get,43,"74,104","2.572,50"
who,44,"74,039","2.534,29"
like,45,"73,918","2.464,70"
when,46,"73,864","2.434,53"
think,47,"73,861","2.432,90"
make,48,"73,727","2.358,91"
time,49,"73,621","2.302,05"
see,50,"73,476","2.226,14"
what,51,"73,431","2.203,56"
up,52,"73,324","2.149,88"
some,53,"73,285","2.130,38"
other,54,"73,223","2.100,32"
out,55,"73,146","2.063,70"
good,56,"73,092","2.038,14"
people,57,"73,052","2.019,49"
year,58,"72,897","1.948,59"
take,59,"72,726","1.873,34"
no,60,"72,681","1.853,93"
well,61,"72,637","1.835,45"
because,62,"72,609","1.823,64"
very,63,"72,534","1.792,37"
just,64,"72,432","1.750,50"
come,65,"72,289","1.693,93"
could,66,"72,273","1.687,53"
work,67,"72,237","1.673,68"
use,68,"72,192","1.656,59"
than,69,"72,017","1.591,10"
now,70,"71,940","1.563,01"
then,71,"71,914","1.553,71"
also,72,"71,910","1.552,32"
into,73,"71,695","1.477,50"
only,74,"71,687","1.474,55"
look,75,"71,368","1.370,37"
want,76,"71,315","1.353,57"
give,77,"71,245","1.331,84"
first,78,"71,209","1.321,14"
new,79,"71,105","1.289,59"
way,80,"71,067","1.278,59"
find,81,"70,919","1.235,70"
over,82,"70,917","1.235,22"
any,83,"70,876","1.223,54"
after,84,"70,829","1.210,26"
day,85,"70,746","1.187,38"
where,86,"70,745","1.187,22"
thing,87,"70,648","1.160,91"
most,88,"70,591","1.145,76"
should,89,"70,538","1.131,84"
need,90,"70,527","1.128,99"
much,91,"70,511","1.124,91"
right,92,"70,467","1.113,45"
how,93,"70,385","1.092,72"
back,94,"70,216","1.051,00"
mean,95,"70,091","1.021,18"
even,96,"69,949","988,31"
may,97,"69,818","958,91"
here,98,"69,766","947,49"
many,99,"69,754","944,97"
such,100,"69,713","936,05"
last,101,"69,625","917,26"
child,102,"69,589","909,66"
tell,103,"69,546","900,65"
really,104,"69,396","870,25"
call,105,"69,389","868,76"
before,106,"69,287","848,58"
company,107,"69,251","841,64"
through,108,"69,232","837,90"
down,109,"69,208","833,32"
show,110,"69,177","827,45"
life,111,"69,094","811,63"
man,112,"69,071","807,37"
change,113,"69,025","798,90"
place,114,"69,002","794,75"
long,115,"68,980","790,69"
between,116,"68,943","783,98"
feel,117,"68,920","779,75"
too,118,"68,825","762,88"
still,119,"68,763","752,15"
problem,120,"68,649","732,61"
write,121,"68,648","732,46"
same,122,"68,579","720,91"
lot,123,"68,541","714,61"
great,124,"68,512","709,95"
try,125,"68,446","699,19"
leave,126,"68,444","698,82"
number,127,"68,438","697,99"
both,128,"68,422","695,39"
own,129,"68,405","692,60"
part,130,"68,399","691,65"
point,131,"68,348","683,56"
little,132,"68,331","680,94"
help,133,"68,325","679,94"
ask,134,"68,290","674,57"
meet,135,"68,265","670,59"
start,136,"68,256","669,33"
talk,137,"68,231","665,43"
something,138,"68,230","665,28"
put,139,"68,160","654,61"
another,140,"68,159","654,54"
become,141,"68,154","653,77"
interest,142,"68,149","652,92"
country,143,"68,147","652,62"
old,144,"68,112","647,48"
each,145,"68,100","645,60"
school,146,"68,048","637,98"
late,147,"68,047","637,78"
high,148,"68,043","637,26"
different,149,"68,035","635,99"
off,150,"67,996","630,43"
next,151,"67,922","619,72"
end,152,"67,918","619,21"
live,153,"67,836","607,53"
why,154,"67,833","607,14"
while,155,"67,769","598,30"
world,156,"67,760","597,09"
week,157,"67,753","596,11"
play,158,"67,727","592,51"
might,159,"67,683","586,52"
must,160,"67,680","586,12"
home,161,"67,675","585,44"
never,162,"67,634","579,96"
include,163,"67,598","575,19"
course,164,"67,598","575,15"
house,165,"67,572","571,74"
report,166,"67,561","570,29"
group,167,"67,551","569,00"
case,168,"67,550","568,87"
woman,169,"67,546","568,28"
around,170,"67,543","567,94"
book,171,"67,525","565,64"
family,172,"67,519","564,81"
seem,173,"67,500","562,33"
let,174,"67,443","555,01"
again,175,"67,436","554,15"
kind,176,"67,434","553,87"
keep,177,"67,412","551,05"
hear,178,"67,370","545,77"
system,179,"67,363","544,82"
every,180,"67,363","544,82"
question,181,"67,338","541,77"
during,182,"67,321","539,68"
always,183,"67,249","530,71"
big,184,"67,220","527,26"
set,185,"67,209","525,91"
small,186,"67,202","525,09"
study,187,"67,194","524,04"
follow,188,"67,171","521,37"
begin,189,"67,142","517,83"
important,190,"67,141","517,69"
since,191,"67,122","515,41"
run,192,"67,076","510,00"
under,193,"67,070","509,30"
turn,194,"67,068","509,13"
few,195,"67,068","509,06"
bring,196,"67,004","501,60"
early,197,"66,981","498,97"
hand,198,"66,966","497,32"
state,199,"66,941","494,40"
move,200,"66,930","493,18"
money,201,"66,919","491,90"
fact,202,"66,863","485,60"
however,203,"66,800","478,64"
area,204,"66,783","476,79"
provide,205,"66,776","475,99"
name,206,"66,736","471,60"
read,207,"66,727","470,64"
friend,208,"66,701","467,86"
month,209,"66,698","467,51"
large,210,"66,668","464,30"
business,211,"66,666","464,07"
without,212,"66,642","461,50"
information,213,"66,622","459,40"
open,214,"66,615","458,64"
order,215,"66,594","456,44"
government,216,"66,584","455,43"
word,217,"66,579","454,92"
issue,218,"66,561","452,96"
market,219,"66,528","449,53"
pay,220,"66,506","447,32"
build,221,"66,497","446,34"
hold,222,"66,450","441,56"
service,223,"66,437","440,21"
against,224,"66,393","435,82"
believe,225,"66,384","434,88"
second,226,"66,363","432,78"
though,227,"66,338","430,28"
yes,228,"66,333","429,81"
love,229,"66,300","426,59"
increase,230,"66,283","424,91"
job,231,"66,282","424,81"
plan,232,"66,280","424,57"
result,233,"66,274","424,07"
away,234,"66,271","423,69"
example,235,"66,236","420,30"
happen,236,"66,234","420,14"
offer,237,"66,208","417,61"
young,238,"66,196","416,51"
close,239,"66,191","415,99"
program,240,"66,170","414,04"
lead,241,"66,133","410,48"
buy,242,"66,074","404,94"
understand,243,"66,051","402,83"
thank,244,"66,009","398,97"
far,245,"65,998","397,96"
today,246,"65,938","392,48"
hour,247,"65,927","391,46"
student,248,"65,924","391,17"
face,249,"65,910","389,95"
hope,250,"65,886","387,80"
idea,251,"65,872","386,52"
cost,252,"65,861","385,59"
less,253,"65,857","385,23"
room,254,"65,852","384,79"
until,255,"65,835","383,23"
reason,256,"65,834","383,15"
form,257,"65,785","378,90"
spend,258,"65,776","378,08"
head,259,"65,772","377,70"
car,260,"65,765","377,14"
learn,261,"65,741","375,05"
level,262,"65,713","372,62"
person,263,"65,656","367,83"
experience,264,"65,627","365,35"
once,265,"65,624","365,05"
member,266,"65,612","364,08"
enough,267,"65,600","363,11"
bad,268,"65,594","362,62"
city,269,"65,591","362,34"
night,270,"65,580","361,41"
able,271,"65,574","360,95"
support,272,"65,549","358,85"
whether,273,"65,548","358,75"
line,274,"65,543","358,31"
present,275,"65,541","358,14"
side,276,"65,512","355,80"
quite,277,"65,496","354,47"
although,278,"65,456","351,22"
sure,279,"65,448","350,62"
term,280,"65,438","349,82"
least,281,"65,437","349,73"
age,282,"65,430","349,11"
low,283,"65,428","348,97"
speak,284,"65,417","348,10"
within,285,"65,403","346,99"
process,286,"65,396","346,44"
public,287,"65,354","343,09"
often,288,"65,329","341,09"
train,289,"65,285","337,71"
possible,290,"65,282","337,42"
actually,291,"65,277","337,05"
rather,292,"65,266","336,18"
view,293,"65,258","335,58"
together,294,"65,241","334,24"
consider,295,"65,239","334,10"
price,296,"65,143","326,81"
parent,297,"65,136","326,28"
hard,298,"65,125","325,45"
party,299,"65,080","322,07"
local,300,"65,064","320,94"
control,301,"65,051","319,97"
already,302,"65,021","317,75"
concern,303,"65,016","317,36"
product,304,"65,006","316,63"
lose,305,"64,997","316,04"
story,306,"64,981","314,86"
almost,307,"64,978","314,63"
continue,308,"64,963","313,52"
stand,309,"64,955","312,96"
whole,310,"64,952","312,77"
yet,311,"64,950","312,62"
rate,312,"64,939","311,82"
care,313,"64,931","311,25"
expect,314,"64,930","311,14"
effect,315,"64,927","310,93"
sort,316,"64,925","310,79"
ever,317,"64,923","310,69"
anything,318,"64,916","310,18"
cause,319,"64,896","308,71"
fall,320,"64,893","308,56"
deal,321,"64,893","308,55"
water,322,"64,871","306,97"
send,323,"64,864","306,47"
allow,324,"64,842","304,96"
soon,325,"64,836","304,50"
watch,326,"64,805","302,34"
base,327,"64,775","300,30"
probably,328,"64,752","298,70"
suggest,329,"64,736","297,60"
past,330,"64,734","297,46"
power,331,"64,718","296,35"
test,332,"64,709","295,74"
visit,333,"64,703","295,35"
center,334,"64,696","294,86"
grow,335,"64,688","294,29"
nothing,336,"64,680","293,78"
return,337,"64,680","293,77"
mother,338,"64,671","293,17"
walk,339,"64,634","290,69"
matter,340,"64,628","290,24"
mind,341,"64,618","289,58"
value,342,"64,611","289,15"
office,343,"64,592","287,84"
record,344,"64,586","287,49"
stay,345,"64,571","286,50"
force,346,"64,566","286,15"
stop,347,"64,545","284,80"
several,348,"64,542","284,59"
light,349,"64,529","283,72"
develop,350,"64,509","282,41"
remember,351,"64,504","282,07"
bit,352,"64,495","281,50"
share,353,"64,480","280,51"
real,354,"64,465","279,58"
answer,355,"64,457","279,04"
sit,356,"64,443","278,17"
figure,357,"64,434","277,61"
letter,358,"64,425","277,02"
decide,359,"64,412","276,16"
language,360,"64,393","274,99"
subject,361,"64,354","272,54"
class,362,"64,348","272,15"
development,363,"64,314","270,01"
town,364,"64,305","269,49"
half,365,"64,293","268,71"
minute,366,"64,280","267,90"
food,367,"64,279","267,87"
break,368,"64,276","267,70"
clear,369,"64,251","266,16"
future,370,"64,243","265,64"
either,371,"64,242","265,61"
ago,372,"64,236","265,23"
per,373,"64,236","265,22"
remain,374,"64,236","265,21"
top,375,"64,232","264,98"
among,376,"64,229","264,77"
win,377,"64,215","263,91"
color,378,"64,204","263,28"
involve,379,"64,157","260,43"
reach,380,"64,153","260,22"
social,381,"64,151","260,08"
period,382,"64,128","258,72"
across,383,"64,120","258,24"
note,384,"64,119","258,14"
history,385,"64,116","258,01"
create,386,"64,115","257,93"
drive,387,"64,113","257,83"
along,388,"64,105","257,31"
type,389,"64,091","256,51"
sound,390,"64,084","256,08"
eye,391,"64,074","255,52"
music,392,"64,074","255,50"
game,393,"64,071","255,33"
political,394,"64,064","254,91"
free,395,"64,058","254,56"
receive,396,"64,052","254,22"
moment,397,"64,045","253,82"
sale,398,"64,041","253,55"
policy,399,"64,037","253,33"
further,400,"63,992","250,72"
body,401,"63,983","250,22"
require,402,"63,969","249,41"
wait,403,"63,963","249,06"
general,404,"63,952","248,44"
appear,405,"63,950","248,31"
toward,406,"63,949","248,23"
team,407,"63,948","248,21"
easy,408,"63,948","248,18"
individual,409,"63,947","248,13"
full,410,"63,945","248,03"
black,411,"63,942","247,84"
sense,412,"63,921","246,69"
perhaps,413,"63,914","246,29"
add,414,"63,889","244,85"
rule,415,"63,883","244,53"
pass,416,"63,862","243,32"
produce,417,"63,859","243,18"
sell,418,"63,857","243,03"
short,419,"63,813","240,59"
agree,420,"63,811","240,49"
law,421,"63,789","239,28"
everything,422,"63,769","238,17"
research,423,"63,747","236,99"
cover,424,"63,730","236,07"
paper,425,"63,729","235,97"
position,426,"63,724","235,74"
near,427,"63,721","235,55"
human,428,"63,719","235,43"
computer,429,"63,717","235,32"
situation,430,"63,705","234,67"
staff,431,"63,699","234,38"
activity,432,"63,683","233,51"
film,433,"63,664","232,46"
morning,434,"63,647","231,57"
war,435,"63,634","230,89"
account,436,"63,630","230,68"
shop,437,"63,617","229,98"
major,438,"63,594","228,75"
someone,439,"63,583","228,20"
above,440,"63,579","227,99"
design,441,"63,576","227,84"
event,442,"63,574","227,74"
special,443,"63,571","227,57"
sometimes,444,"63,567","227,37"
condition,445,"63,540","225,94"
carry,446,"63,537","225,80"
choose,447,"63,529","225,36"
father,448,"63,514","224,59"
decision,449,"63,507","224,26"
table,450,"63,500","223,87"
certain,451,"63,489","223,32"
forward,452,"63,484","223,07"
main,453,"63,478","222,75"
die,454,"63,471","222,41"
bear,455,"63,455","221,55"
cut,456,"63,452","221,39"
describe,457,"63,434","220,47"
himself,458,"63,422","219,89"
available,459,"63,421","219,82"
especially,460,"63,421","219,82"
strong,461,"63,379","217,74"
rise,462,"63,377","217,62"
girl,463,"63,372","217,36"
maybe,464,"63,368","217,18"
community,465,"63,366","217,07"
