letter, counts, percents, sfi, cumulae
e, 462032, 13.9686, 96.6467, 13.97
t, 339743, 10.2715, 95.3115, 24.24
o, 293377, 8.8697, 94.6743, 33.11
a, 267039, 8.0734, 94.2657, 41.18
n, 216331, 6.5403, 93.3512, 47.72
h, 203913, 6.1649, 93.0944, 53.89
i, 197824, 5.9808, 92.9628, 59.87
r, 173901, 5.2576, 92.4030, 65.13
s, 137827, 4.1669, 91.3933, 69.29
l, 133173, 4.0262, 91.2442, 73.32
d, 103661, 3.1340, 90.1562, 76.45
u, 93747, 2.8343, 89.7196, 79.29
c, 91676, 2.7716, 89.6226, 82.06
b, 90057, 2.7227, 89.5452, 84.78
f, 85677, 2.5903, 89.3286, 87.37
y, 77524, 2.3438, 88.8944, 89.72
m, 71950, 2.1753, 88.5703, 91.89
w, 71343, 2.1569, 88.5335, 94.05
p, 63516, 1.9203, 88.0288, 95.97
g, 46972, 1.4201, 86.7184, 97.39
v, 43313, 1.3095, 86.3662, 98.70
k, 28583, 0.8642, 84.5611, 99.56
x, 5867, 0.1774, 77.6842, 99.74
j, 4285, 0.1295, 76.3195, 99.87
q, 2927, 0.0885, 74.6642, 99.96
z, 1385, 0.0419, 71.4145, 100.00
